mpn,lcsc,lcsc_status,manufacturer,description,second_source,boards,qty,unit_100,unit_1k,unit_5k,unit_10k,ext_1k_INR,ext_10k_INR,sample_refs
IND-PFC-165u,,CLASS,custom (docs/magnetics.md D1),"PFC choke 165 µH, 3× T79 26µ sendust, N=36","POCO/DMEGC equiv core",acdc,12,1397.3,1035,910.8,828,12420,9936,LA0 LB0 LC0 LA1 LB1 LC1 LA2 LB2 LC2 LA3 LB3 LC3
ELH-470u450,,CLASS,Aishi,"470 µF 450 V snap-in 105 °C (split bus: 415 V max per half)","ChengX/Nichicon",acdc+dcdc,68,202.5,150,132,120,10200,8160,CDT00 CDT01 CDT02 CDT03 CDT04 CDT05 CDB00 CDB01 CDB02 CDB03 CDB04 CDB05
SG2M023120LJ,C5713523,SECOND-SOURCE,SiChain,"SiC MOSFET 1200 V 23 mΩ TO-247-4L","BASiC B3M020120ZL",dcdc,24,526.5,390,343.2,312,9360,7488,Q1H Q1L Q2H Q2L Q3H Q3L Q4H Q4L Q5H Q5L Q6H Q6L
SICJBS-1200-20,C5713501,ORDERABLE,SiChain,"SiC JBS 1200 V 20 A TO-247-2 (secondary bridge)","CR Micro 1200V/20A",dcdc,96,121.5,90,79.2,72,8640,6912,D1A1 D1A2 D1A3 D1A4 D1B1 D1B2 D1B3 D1B4 D2A1 D2A2 D2A3 D2A4
XFMR-LLC-10K,,CUSTOM,custom (D3),"LLC section transformer 3× PQ50/50 PC95, 7:7:7, Lm 63 µH ±7% (E7 rev D2)","PQ65 single-core variant",dcdc,12,918,680,598.4,544,8160,6528,T1 T2 T3 T4 T5 T6 T7 T8 T9 T10 T11 T12
B3M010C075Z,C5713521,SECOND-SOURCE,BASiC,"SiC MOSFET 750 V 10 mΩ TO-247-4","SiChain 750V/10mΩ (RFQ)",acdc,24,445.5,330,290.4,264,7920,6336,QA0A QA0B QB0A QB0B QC0A QC0B QA1A QA1B QB1A QB1B QC1A QC1B
QA01C,C2757491,REVIEW,MORNSUN,"iso gate-bias module +18/−4-configured (E23 rev B: modules PERMANENT — at 10k modules/yr (~90k+ pcs aggregated) module pricing ≤₹55 makes the custom-transformer ECO-1 net ≈ ₹0 with added EMC/mfg risk → ECO-1 RETIRED; O-11: drawn P18/COM/N4 dual-rail vs single-out suffix — the −4 V zener-split or a true dual-rail p/n MUST be resolved at §K, E5/E6 off-bias depends on it)","domestic iso-module eq (2nd source at RFQ)",acdc+dcdc,35,128.3,95,83.6,55,3325,1925,PSA0G PSB0G PSC0G PSA1G PSB1G PSC1G PSA2G PSB2G PSC2G PSA3G PSB3G PSC3G
PP-46n-1200,,CLASS,Faratronic,"46 nF 1200 V PP pulse film (resonant — CB-22: mpn now matches the frozen rev-D2 tank; Vrms ≈ 300 V @140 kHz → pulse-grade curve check O-8/§K)","Songtian pulse PP",dcdc,48,91.8,68,59.8,54.4,3264,2611,C1R0 C1R1 C1R2 C1R3 C2R0 C2R1 C2R2 C2R3 C3R0 C3R1 C3R2 C3R3
NSI6611,C7470934,ORDERABLE,NOVOSENSE,"iso gate driver 10 A, DESAT/Miller(CLAMP wired, CB-12)/UVLO, SOIC-16","NSI6602B",acdc+dcdc,36,114.8,85,74.8,68,3060,2448,UA0G UB0G UC0G UA1G UB1G UC1G UA2G UB2G UC2G UA3G UB3G UC3G
SICJBS-1200-40,C7435099,ORDERABLE,SiChain,"SiC JBS 1200 V 40 A TO-247-2 (exact p/n at RFQ)","BASiC B3D040120H",acdc,24,162,120,105.6,96,2880,2304,DA0T DA0B DB0T DB0B DC0T DC0B DA1T DA1B DB1T DB1B DC1T DC1B
