mpn,manufacturer,description,second_source,boards,qty,unit_100,unit_1k,unit_5k,ext_1k_INR,sample_refs
IND-PFC-165u,custom (docs/magnetics.md D1),"PFC choke 165 µH, 3× T79 26µ sendust, N=36","POCO/DMEGC equiv core",acdc,6,1397.3,1035,910.8,6210,LA0 LB0 LC0 LA1 LB1 LC1
SG2M023120LJ,SiChain,"SiC MOSFET 1200 V 23 mΩ TO-247-4L","BASiC B3M020120ZL",dcdc,12,526.5,390,343.2,4680,Q1H Q1L Q2H Q2L Q3H Q3L Q4H Q4L Q5H Q5L Q6H Q6L
SICJBS-1200-20,SiChain,"SiC JBS 1200 V 20 A TO-247-2 (secondary bridge)","CR Micro 1200V/20A",dcdc,48,121.5,90,79.2,4320,D1A1 D1A2 D1A3 D1A4 D1B1 D1B2 D1B3 D1B4 D2A1 D2A2 D2A3 D2A4
XFMR-LLC-10K,custom (D3),"LLC section transformer 3× PQ50/50 PC95, 7:7:7","PQ65 single-core variant",dcdc,6,918,680,598.4,4080,T1 T2 T3 T4 T5 T6
B3M010C075Z,BASiC,"SiC MOSFET 750 V 10 mΩ TO-247-4","SiChain 750V/10mΩ (RFQ)",acdc,12,445.5,330,290.4,3960,QA0A QA0B QB0A QB0B QC0A QC0B QA1A QA1B QB1A QB1B QC1A QC1B
ELH-470u450,Aishi,"470 µF 450 V snap-in 105 °C","ChengX/Nichicon",acdc+dcdc,26,202.5,150,132,3900,CDT00 CDT01 CDT02 CDT03 CDT04 CDB00 CDB01 CDB02 CDB03 CDB04 CDT10 CDT11
PP-44n-1200,Faratronic,"46 nF 1200 V PP pulse film (resonant, rev D)","Songtian pulse PP",dcdc,24,91.8,68,59.8,1632,C1R0 C1R1 C1R2 C1R3 C2R0 C2R1 C2R2 C2R3 C3R0 C3R1 C3R2 C3R3
NSI6611,NOVOSENSE,"iso gate driver 10 A, DESAT/Miller/UVLO, SOIC-16","NSI6602B",acdc+dcdc,18,114.8,85,74.8,1530,UA0G UB0G UC0G UA1G UB1G UC1G U1H U1L U2H U2L U3H U3L
SICJBS-1200-40,SiChain,"SiC JBS 1200 V 40 A TO-247-2 (exact p/n at RFQ)","BASiC B3D040120H",acdc,12,162,120,105.6,1440,DA0T DA0B DB0T DB0B DC0T DC0B DA1T DA1B DB1T DB1B DC1T DC1B
HFE82V-CLASS,Hongfa,"HV DC relay 1000 V (current class per SKU)","GIGAVAC eq",dcdc,1,1053,780,686.4,780,KSER
HFE82V-CLASS,Hongfa,"HV DC relay 1000 V (current class per SKU)","GIGAVAC eq",dcdc,1,1053,780,686.4,780,KPARA
HFE82V-CLASS,Hongfa,"HV DC relay 1000 V (current class per SKU)","GIGAVAC eq",dcdc,1,1053,780,686.4,780,KPARB
HFE82V-CLASS,Hongfa,"HV DC relay 1000 V (current class per SKU)","GIGAVAC eq",dcdc,1,1053,780,686.4,780,KOUT
IND-TRIM-4u3,custom (D2),"resonant trim 4.3 µH ±5%","air-core option",dcdc,6,114.8,85,74.8,510,L1T L2T L3T L4T L5T L6T
PP-1u-900,Faratronic,"1 µF 900 V film (commutation/bank)","Songtian",dcdc,8,74.3,55,48.4,440,CF0 CF1 CF2 CF3 CF4 CF5 CBAF CBBF
BIAS-SEC-SET,custom (§18/E23),"gate-bias secondary set (+18/−4): winding share of multi-output bias transformer + rect/filter parts (production; QA01C module = proto fallback ₹95)","MORNSUN QA01C (proto)",acdc+dcdc,18,32.4,24,21.1,432,PSA0G PSB0G PSC0G PSA1G PSB1G PSC1G PS1H PS1L PS2H PS2L PS3H PS3L
CMC-3PH-2mH,custom/Hongfa mag,"3-phase CM choke 2 mH nanocrystalline","sendust CM",acdc,2,283.5,210,184.8,420,CMC1 CMC2
GD32G553RET6,GigaDevice,"MCU Cortex-M33 216 MHz LQFP100 (pkg TBC, A6)","GD32G563",acdc+dcdc,2,283.5,210,184.8,420,UPFC ULLC
CT-60A-1:2500,ZEMCT/eq,"line CT 60 A class (E18)","HCT series",acdc,6,87.8,65,57.2,390,CTA0 CTB0 CTC0 CTA1 CTB1 CTC1
HFE9-10A-1kV,Hongfa,"aux HV relay 10 A 1000 VDC (pre-insertion)","—",dcdc,2,256.5,190,167.2,380,KPREA KPREB
STUD-M8,local,"M8 stud terminal","M6 for signal PE",acdc+dcdc,12,37.8,28,24.6,336,JACL1 JACL2 JACL3 JPE JDCP JDCN JPEB JDCP JDCN JPEB JOUTP JOUTN
SICJBS-1200-10,SiChain,"SiC JBS 1200 V 10 A TO-247-2 (RCD clamp)","CR Micro 1200V/10A",acdc,6,74.3,55,48.4,330,DA0C DB0C DC0C DA1C DB1C DC1C
CT-RES-1:100,custom,"resonant CT (toroid, 1:100)","—",dcdc,6,74.3,55,48.4,330,CT1 CT2 CT3 CT4 CT5 CT6
PP-4u7-1100,Faratronic,"4.7 µF 1100 V film (output)","—",dcdc,2,148.5,110,96.8,220,COF1 COF2
FUSE-gG-690V,local/Bussmann,"gG fuse 690 VAC (rating per SKU)","SIBA",acdc,1,283.5,210,184.8,210,F1
FUSE-gG-690V,local/Bussmann,"gG fuse 690 VAC (rating per SKU)","SIBA",acdc,1,283.5,210,184.8,210,F2
FUSE-gG-690V,local/Bussmann,"gG fuse 690 VAC (rating per SKU)","SIBA",acdc,1,283.5,210,184.8,210,F3
SHUNT-MANG,Isabellenhütte-eq/local,"manganin shunt 50 mV class (SKU current)","local manganin",dcdc,1,243,180,158.4,180,RSHO
X2-2u2-310,Songtian,"X2 2.2 µF 310 VAC","Faratronic",acdc,6,37.8,28,24.6,168,CX11 CX12 CX13 CX21 CX22 CX23
CER-25W,TE/local,"25 W ceramic pulse resistor (precharge/discharge; pulse-rating VERIFY T-05)","SQP25",acdc,6,37.8,28,24.6,168,RPRE1 RPRE2 RDIS0 RDIS1 RDIS2 RDIS3
SIC-1200-5A,CR Micro,"SiC FET 1200 V 5 A (bus discharge)","BASiC small 1200V",acdc,1,162,120,105.6,120,QDISF
DM-22u-60A,custom/POCO,"DM line choke 22 µH sendust toroid (3rd EMI stage, E22)","DMEGC eq",acdc,3,51.3,38,33.4,114,LDM1 LDM2 LDM3
C1812-470p-1k,any MLCC,"470 pF 1 kV C0G 1812 (snubber)","film 630V",acdc+dcdc,12,12.2,9,7.9,108,CA0SN CB0SN CC0SN CA1SN CB1SN CC1SN C1SN C2SN C3SN C4SN C5SN C6SN
FILM-100n-250,Faratronic,"100 nF 250 V film (RCD clamp)","MLCC 250V",acdc,6,24.3,18,15.8,108,CA0C CB0C CC0C CA1C CB1C CC1C
