mpn,lcsc,lcsc_status,manufacturer,description,second_source,boards,qty,unit_100,unit_1k,unit_5k,unit_10k,ext_1k_INR,ext_10k_INR,sample_refs
SG2M023120LJ,C5713523,SECOND-SOURCE,"SiChain","SiC MOSFET 1200 V 23 mΩ TO-247-4L — RFQ ACCEPTANCE IDM ≥ 265 A @25 °C (E69a-2: the 30 kW single die carries 209 A at the F.11 kill) (E67 full-bridge LLC, clip-mounted: tanks.mjs par per position — 1 at 30 kW, 2 at 40 / 50 kW liquid and air — Q#H2/Q#L2)","BASiC B3M020120ZL",dcdc,8,526.5,390,343.2,312,3120,2496,Q1H Q1L Q1H2 Q1L2 Q2H Q2L Q2H2 Q2L2
GC4D20120D,C7435099,REVIEW,"SiChain","SiC JBS 1200 V 40 A-class TO-247-2 REQUIREMENT (exact p/n at RFQ; IFSM ≥ 250 A (10 ms half-sine, 25 °C) — E73 bypass-closure surge. E80/HR-03: the GC4D20120D candidate is NOT this part — mfr data shows TO-247-3, dual-die common-cathode, 16.5 A/leg at Tc 135 °C, IFSM 71 A/leg — ordering FROZEN until a true 2-terminal ≥40 A part or a deliberate dual-die redesign with a 3-pin footprint is selected. E81/F-H-3: re-confirmed independently on the live LCSC listing for C7435099 — 1.2 kV/34 A, TO-247-3. **PRICE RISK, NOT APPLIED:** distributor anchors for a correctly-rated single-die TO-247-2 40 A part sit far above the ₹120@1k carried here; 22 positions/module make this the single largest unquantified line in the BOM. RFQ round 1 closes it; nothing else in this file assumes the ₹120 holds)","BASiC B3D040120H",acdc+dcdc,22,162,120,105.6,96,2640,2112,DA0T DA0B DB0T DB0B DC0T DC0B D1A1 D1A1P2 D1A2 D1A2P2 D1A3 D1A3P2
ELH-470u500,,CLASS,"Aishi","470 µF **500 V** snap-in 105 °C, −40 °C category (A11 rev C cold floor −30 °C). E81 (F-C-6/F-C-14): the 450 V part ran 415/450 = 92 % nominal, 96 % at the 860 V OVP and 97.3–97.8 % at the F.38 boundary — aluminium electrolytics are designed at ≤80–90 % of V_R and above ~90 % the leakage and oxide-repair rate climb off the datasheet endurance curve. The free bus-side fix does not exist: the 830 V link is SET by the 500 V bank edge with only 2.3 % of FHA gain margin (checked at Lr +5 %/Cr −5 %/Lm +7 %), so 810 V and below FAIL the gain, and capping LOW mode at 480 V pushes 480–500 V into HIGH with a 240–250 V bank, i.e. straight into the F-C-1 corner. At 500 V: 435 V worst continuous half = 87 %, 86 % at the re-set F.38 (430 V) / F.03 (850 V). Same 35 mm land, same height. RFQ LINE (binding): height ≤ the drawn can, ripple ≥ 3 A rms @100 kHz/105 °C, ESR ≤ 0.15 Ω, leakage ≤ 0.5 mA per can at 85 °C/415 V and graded/matched per half (F-A-7), endurance lot 1000 h at 438 V/105 °C on 5 samples","ChengX/Nichicon 470u/500V snap-in",acdc,12,249.8,185,162.8,148,2220,1776,CDT00 CDT01 CDT02 CDT03 CDT04 CDB00 CDB01 CDB02 CDB03 CDB04 CDT10 CDB10
XFMR-LLC-CELL-3E70-40,,CUSTOM,"custom (D3 rev D cell, E67)","D3-40 rev D (E67): full-bridge LLC transformer CELL (2 per module, primaries in SERIES → n = 2 overall) — 3× E70/33/32 PC95-class on a 3-set former (lN 293 mm, custom), 4:4∥4 (S1–P–S2 with S1 ∥ S2 feeding one bank), Lm 21.75 µH per cell ±7%, primary TIW-served litz 3536×0.071 mm (14 mm²), secondary halves 2 × Cu foil 0.08×28 mm per turn; leakage 0.132 µH computed (acceptance ±20 %), vacuum-impregnated, both yoke faces gap-padded to the webs, end turns potted. Envelope gate: Fe 47.6 W at 159 mT (500 V bank) · Cu 46.1 W at the 764 V-bus PSM corner · hot-spot 102 °C at 55 °C inlet. Roll-up: 3 × E70 ₹480 + litz ₹302 + foil ₹115 (+10 %) + 3-set former/insulation/shield/gap/labour/test ₹495 → ₹1,434 [est, REVIEW at winder RFQ]","any E70-capable winder",dcdc,1,1935.9,1434,1261.9,1147.2,1434,1147,T1A
XFMR-LLC-CELL-3E70-40,,CUSTOM,"custom (D3 rev D cell, E67)","D3-40 rev D (E67): full-bridge LLC transformer CELL (2 per module, primaries in SERIES → n = 2 overall) — 3× E70/33/32 PC95-class on a 3-set former (lN 293 mm, custom), 4:4∥4 (S1–P–S2 with S1 ∥ S2 feeding one bank), Lm 21.75 µH per cell ±7%, primary TIW-served litz 3536×0.071 mm (14 mm²), secondary halves 2 × Cu foil 0.08×28 mm per turn; leakage 0.132 µH computed (acceptance ±20 %), vacuum-impregnated, both yoke faces gap-padded to the webs, end turns potted. Envelope gate: Fe 47.6 W at 159 mT (500 V bank) · Cu 46.1 W at the 764 V-bus PSM corner · hot-spot 102 °C at 55 °C inlet. Roll-up: 3 × E70 ₹480 + litz ₹302 + foil ₹115 (+10 %) + 3-set former/insulation/shield/gap/labour/test ₹495 → ₹1,434 [est, REVIEW at winder RFQ]","any E70-capable winder",dcdc,1,1935.9,1434,1261.9,1147.2,1434,1147,T1B
CMC-3PH-2mH-SKU,,CUSTOM,"custom/Hongfa mag","3-phase CM choke 2 mH nanocrystalline, line-current-rated winding per SKU (HR-18/D7). E65 rev B (dm-choke-design D7 engine): acceptance L_cm ≥ 2 mH @10 kHz AND ≥ 1.0 mH @150 kHz, ≥ 80 % of it with I_pk DM bias line-to-line, leakage 6–12 µH, A_Fe floor on the quote (L_lk,max·I_pk/(8·A_Fe) ≤ 0.6 T), ΔT ≤ 45 K on hot copper. 30 kW: qualify Schaffner RT8131-63-2M8 (63 A/2.8 mH/600 VAC, 3-line nanocrystalline, Digi-Key) as catalog drop-in — audit; custom drawing stays the second source [D7-40 custom wind 75 A (the Schaffner 63 A catalog part is OUT of range here) · D7-40 rev B (E65 engine): T 80/50/25, A_Fe ≥ 281 mm², 3×8 T 20 mm², 17.0 W, ΔT 32 K [est roll-up]]","Schaffner RT8131-63-2M8 @30 kW",acdc,1,1791.5,1327,1167.8,1061.6,1327,1062,CMC1
CMC-3PH-2mH-SKU,,CUSTOM,"custom/Hongfa mag","3-phase CM choke 2 mH nanocrystalline, line-current-rated winding per SKU (HR-18/D7). E65 rev B (dm-choke-design D7 engine): acceptance L_cm ≥ 2 mH @10 kHz AND ≥ 1.0 mH @150 kHz, ≥ 80 % of it with I_pk DM bias line-to-line, leakage 6–12 µH, A_Fe floor on the quote (L_lk,max·I_pk/(8·A_Fe) ≤ 0.6 T), ΔT ≤ 45 K on hot copper. 30 kW: qualify Schaffner RT8131-63-2M8 (63 A/2.8 mH/600 VAC, 3-line nanocrystalline, Digi-Key) as catalog drop-in — audit; custom drawing stays the second source","Schaffner RT8131-63-2M8 @30 kW",acdc,1,1791.5,1327,1167.8,1061.6,1327,1062,CMC2
IND-PFC-116u-40,,CUSTOM,"custom (docs/magnetics.md D1 rev B)","PFC choke 116 µH class, 5× OD79 26µ sendust (Magnetics 0077908A7 / Chang Sung KS eq, catalog AL 37 nH/T² ±8%), N=26, 13× 1.6 mm enamelled bundle (docs/magnetics.md D1-40 rev B) [D1-40 rev B: 5x 0077908A7 CATALOG core, N=26 +/-1 lot-trim (E51)]","POCO/DMEGC equiv core",acdc,1,1674,1240,1091.2,992,1240,992,LA0
IND-PFC-116u-40,,CUSTOM,"custom (docs/magnetics.md D1 rev B)","PFC choke 116 µH class, 5× OD79 26µ sendust (Magnetics 0077908A7 / Chang Sung KS eq, catalog AL 37 nH/T² ±8%), N=26, 13× 1.6 mm enamelled bundle (docs/magnetics.md D1-40 rev B)","POCO/DMEGC equiv core",acdc,1,1674,1240,1091.2,992,1240,992,LB0
IND-PFC-116u-40,,CUSTOM,"custom (docs/magnetics.md D1 rev B)","PFC choke 116 µH class, 5× OD79 26µ sendust (Magnetics 0077908A7 / Chang Sung KS eq, catalog AL 37 nH/T² ±8%), N=26, 13× 1.6 mm enamelled bundle (docs/magnetics.md D1-40 rev B)","POCO/DMEGC equiv core",acdc,1,1674,1240,1091.2,992,1240,992,LC0
