mpn,lcsc,lcsc_status,manufacturer,description,second_source,boards,qty,unit_100,unit_1k,unit_5k,unit_10k,ext_1k_INR,ext_10k_INR,sample_refs
SG2M023120LJ,C5713523,SECOND-SOURCE,"SiChain","SiC MOSFET 1200 V 23 mΩ TO-247-4L — full-bridge LLC switch, clip-mounted; tanks.mjs sets the dies per position (1 at 30 kW, 2 at 40 / 50 kW liquid and air — Q#H2/Q#L2). RFQ ACCEPTANCE: IDM ≥ 265 A @25 °C (the 30 kW single die carries 209 A at the F.11 kill)","BASiC B3M020120ZL",dcdc,8,526.5,390,343.2,312,3120,2496,Q1H Q1L Q1H2 Q1L2 Q2H Q2L Q2H2 Q2L2
ELH-470u500,,CLASS,"Aishi","470 µF **500 V** snap-in aluminium electrolytic, 105 °C, −40 °C category, 35 mm land (split DC link). The 500 V class is the requirement: at 500 V the worst continuous half is 435 V = 87 % and 86 % at the F.38 (430 V) / F.03 (850 V) limits, while a 450 V part runs 92 % nominal, 96 % at the 860 V OVP and 97.3–97.8 % at the F.38 boundary — above ~90 % of V_R the leakage and oxide-repair rate climb off the datasheet endurance curve. Lowering the bus instead is not available: the 830 V link is SET by the 500 V bank edge with 2.3 % of FHA gain margin (checked at Lr +5 % / Cr −5 % / Lm +7 %), so 810 V and below fail the gain, and capping LOW mode at 480 V pushes 480–500 V into HIGH with a 240–250 V bank. RFQ LINE (binding): height ≤ the drawn can, **ripple ≥ 5.2 A rms @ 100 kHz / 105 °C**, **ESR ≤ 80 mΩ @ 100 kHz**, leakage ≤ 0.5 mA per can at 85 °C/415 V graded/matched per half, endurance lot 1000 h at 438 V/105 °C on 5 samples. THE DUTY THAT LINE IS FOR: the dominant term is the **Vienna's own 50 kHz capacitor current**, not the LLC's 2·f_sw share. At 50 kHz the per-phase commutation films are 3 µF per half (1.06 Ω) against a can bank of 13–16 mΩ, so the cans take essentially all of it. Direct PWM evaluation on the firmware's own modulator (common centred carrier, min-max zero sequence) plus the LLC 2·f_sw share and the 150 Hz neutral-point term in quadrature gives **5.7 / 6.5 / 5.9 A rms per can at 400 VAC / 800 V** and **6.7 / 7.6 / 7.0 A at 340 VAC / 700 V** (30 / 40 / 50 kW, full power — V_FULL is 330 VAC, so 340 VAC is NOT a derated point). An independent switched model with its own film/ESR split reads about 0.6 × the nominal figure, so the two methods bracket the answer and this line is set from the conservative bracket. `current-coordination [DCLINK-VIENNA]` recomputes all of it every run from tanks.mjs, the committed ripple-share CSV and THIS line, and gates the nominal-line corner against it × the ≤ 70 °C ambient multiplier (1.3×). **REGISTERED EXCEEDANCE — the 340 VAC full-power corner runs 99–112 % of that allowance and is the RFQ decision, not a number to widen.** Levers, in order: force air across the bank (the ambient multiplier is worth more than any part change); a taller / larger-diameter 470–680 µF / 500 V long-life can at ≥ 6 A — note the height line above, this is a mechanical decision; +1 can per half (+₹350–400 and a board change). 5.2 A at 105 °C is at the TOP of what a 35 mm snap-in gives. **PRICE RISK, NOT APPLIED:** a long-life ≥ 4.8 A snap-in is above the ₹185 @1k carried here; RFQ round 1 closes it","ChengX/Nichicon 470u/500V snap-in",acdc,16,249.8,185,162.8,148,2960,2368,CDT00 CDT01 CDT02 CDT03 CDT04 CDB00 CDB01 CDB02 CDB03 CDB04 CDT10 CDT11
GC4D20120D,C7435099,REVIEW,"SiChain","SiC JBS 1200 V 40 A-class TO-247-2, SINGLE die, 2-terminal (exact p/n at RFQ). ACCEPTANCE: IFSM ≥ 250 A (10 ms half-sine, 25 °C) — the precharge-bypass closure surge. DO NOT FIT GC4D20120D (LCSC C7435099) against this line: the manufacturer data is a TO-247-3 DUAL common-cathode die, 16.5 A/leg at Tc 135 °C, IFSM 71 A/leg — a different part in a package the drawn 2-pin land does not take. Ordering stays FROZEN until either a true 2-terminal ≥ 40 A die is selected or the position is deliberately redesigned for a dual die on a 3-pin land with sharing and surge recomputed. **PRICE RISK, NOT APPLIED:** distributor anchors for a correctly-rated single-die TO-247-2 40 A part sit far above the ₹120 @1k carried here, and 22 positions per module make this the single largest unquantified line in the BOM; RFQ round 1 closes it, and nothing else in this file assumes the ₹120 holds","BASiC B3D040120H",acdc+dcdc,22,162,120,105.6,96,2640,2112,DA0T DA0B DB0T DB0B DC0T DC0B D1A1 D1A1P2 D1A2 D1A2P2 D1A3 D1A3P2
CMC-3PH-2mH-SKU,,CUSTOM,"custom/Hongfa mag","3-phase CM choke 2 mH nanocrystalline, winding rated to the SKU line current (D7). ACCEPTANCE: L_cm ≥ 2 mH @10 kHz AND ≥ 1.0 mH @150 kHz, ≥ 80 % of it held with I_pk DM bias line-to-line, leakage 6–12 µH, A_Fe floor on the quote (L_lk,max·I_pk/(8·A_Fe) ≤ 0.6 T), ΔT ≤ 45 K on hot copper. 30 kW: qualify Schaffner RT8131-63-2M8 (63 A / 2.8 mH / 600 VAC, 3-line nanocrystalline, Digi-Key) as the catalog drop-in; the custom drawing stays the second source [D7-50 custom wind 95 A · D7-50 rev B: T 90/50/30, A_Fe ≥ 450 mm², 3×8 T 25 mm², 26.7 W, ΔT 38 K [est roll-up]]","Schaffner RT8131-63-2M8 @30 kW",acdc,1,2787.8,2065,1817.2,1652,2065,1652,CMC1
CMC-3PH-2mH-SKU,,CUSTOM,"custom/Hongfa mag","3-phase CM choke 2 mH nanocrystalline, winding rated to the SKU line current (D7). ACCEPTANCE: L_cm ≥ 2 mH @10 kHz AND ≥ 1.0 mH @150 kHz, ≥ 80 % of it held with I_pk DM bias line-to-line, leakage 6–12 µH, A_Fe floor on the quote (L_lk,max·I_pk/(8·A_Fe) ≤ 0.6 T), ΔT ≤ 45 K on hot copper. 30 kW: qualify Schaffner RT8131-63-2M8 (63 A / 2.8 mH / 600 VAC, 3-line nanocrystalline, Digi-Key) as the catalog drop-in; the custom drawing stays the second source","Schaffner RT8131-63-2M8 @30 kW",acdc,1,2787.8,2065,1817.2,1652,2065,1652,CMC2
B3M010C075Z,C5713521,SECOND-SOURCE,"BASiC","SiC MOSFET 750 V 10 mΩ TO-247-4","SiChain 750V/10mΩ (RFQ)",acdc,6,445.5,330,290.4,264,1980,1584,QA0A QA0B QB0A QB0B QC0A QC0B
XFMR-LLC-CELL-3E70-50,,CUSTOM,"custom wind (D3 rev D cell)","D3-50 rev D: full-bridge LLC transformer CELL (2 per module, primaries in SERIES → n = 2 overall) — the D3-40 construction: 3× E70/33/32 PC95-class on a 3-set former, 4:4∥4, Lm 17.8 µH per cell ±7%, TIW-served litz 3536×0.071 mm, 2 × Cu foil 0.08×28 mm halves; leakage 0.132 µH (±20 %), vacuum-impregnated, both yoke faces plate-bonded (liquid) or web-bonded (air), end turns potted. Envelope gate: Fe 47.5 W at 159 mT · Cu 71.3 W at the PSM corner · hot-spot 103 °C liquid / 116 °C air at 55 °C inlet. Roll-up ₹1,434 [est, REVIEW at winder RFQ]","any E70-capable winder",dcdc,1,1935.9,1434,1261.9,1147.2,1434,1147,T1A
XFMR-LLC-CELL-3E70-50,,CUSTOM,"custom wind (D3 rev D cell)","D3-50 rev D: full-bridge LLC transformer CELL (2 per module, primaries in SERIES → n = 2 overall) — the D3-40 construction: 3× E70/33/32 PC95-class on a 3-set former, 4:4∥4, Lm 17.8 µH per cell ±7%, TIW-served litz 3536×0.071 mm, 2 × Cu foil 0.08×28 mm halves; leakage 0.132 µH (±20 %), vacuum-impregnated, both yoke faces plate-bonded (liquid) or web-bonded (air), end turns potted. Envelope gate: Fe 47.5 W at 159 mT · Cu 71.3 W at the PSM corner · hot-spot 103 °C liquid / 116 °C air at 55 °C inlet. Roll-up ₹1,434 [est, REVIEW at winder RFQ]","any E70-capable winder",dcdc,1,1935.9,1434,1261.9,1147.2,1434,1147,T1B
PP-1u-1100,,CLASS,"Faratronic","1 µF 1100 V film (bridge commutation at the DC-DC entry; 830 V ≤ 76 % of the class). THE COUNT IS PART OF THE SPECIFICATION — boards.tsx `nEntryFilm`, 16 or 20 per SKU. A small bank puts the films on a 268–425 kHz anti-resonance with the stud loop, inside the 280–406 kHz 2·fsw band; that is a PARALLEL anti-resonance, so the two branches circulate more current than the bridge injects — 6.5–18 A rms and 10–45 W per 470 µF can against a ≈3 A / 2 W allowance, and 21–47 A rms in a box part rated 8–12 A. Sixteen parts move the resonance to ~140 kHz and hold 2.7 A (30 kW) / 4.6 A (50 kW) per film. EVT T-43 measures it: current probe on one can and one film at PAR400-full and SER250-full, plus a 10 kHz–2 MHz VNA sweep of the link looking in from the bridge","Songtian",dcdc,20,91.8,68,59.8,54.4,1360,1088,CF0 CF1 CF2 CF3 CF4 CF5 CF6 CF7 CF8 CF9 CF10 CF11
PP-2u2-630,,CLASS,"Faratronic C3D/CBB class","2.2 µF 630 V PP film, ripple-rated (bank rectifier film: ≤ 10 A rms per part of the 30/39/49 A rms 2·fsw bridge ripple)","KEMET R76 / CDE 944U",dcdc,28,60.8,45,39.6,36,1260,1008,CFA0 CFA1 CFA2 CFA3 CFA4 CFA5 CFA6 CFA7 CFA8 CFA9 CFA10 CFA11
